"BILL OF MATERIAL WITH BETA STOCK, GROUPED BY VALUES, AS OF 09.10.2015",,,,,,,,,,,,,,,,,,
Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
"C1, C2, C3, C7, C_VCCA, C_VCCB","0,1µF",C-0603,C0603,Ceramic Capacitors, ,6,YES,NO, , , , , , , , , , 
"C4, C5",10nF,C-0603,C0603,Ceramic Capacitors, ,2,YES,NO, , , , , , , , , , 
"C6, C8",1µF,C-0603,C0603,Ceramic Capacitors, ,2,YES,NO, , , , , , , , , , 
"C10, C11",33nF,CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
C12,18nF,CAPACITOR_0402,CAPC1005X60N, , ,1,YES,NO, , , , , , , , , , 
"C13, C14",470pF,CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
"C15, C16",22nF,CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
"C17, C18","0,47µF",CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
"C19, C20",10nF,CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
"C21, C23","0,1µF",CAPACITOR_0402,CAPC1005X60N, , ,2,YES,NO, , , , , , , , , , 
C22,1µF,CAPACITOR_0402,CAPC1005X60N, , ,1,YES,NO, , , , , , , , , , 
"C24, C25",10µF,CAPACITOR_0603,CAPC1608X92N, , ,2,YES,NO, , , , , , , , , , 
IC1,MPU-9250,MPU-9250,QFN24-SMALL,9-axis MotionTracking device communicate with I2C/SPI, ,1,YES,YES, , , , , , , , , , 
"INT_J1, INT_J2, INT_J3", ,R-EU_R0201,R0201,"RESISTOR, European symbol", ,3,NO,NO, , , , , , , , , , 
J1,EDISON_CONNECTOR_FULLMOUNTING_HOLES,EDISON_CONNECTOR_FULLMOUNTING_HOLES,EDISON_DAUGHTER, , ,1,YES,YES, , , , , , , , , , 
"J2, J3", ,M01NOSILK-KIT,1X01NS-KIT,Header 1, ,2,NO,NO, , , , , , , , , , 
R1,10k,R-0603,R0603, , ,1,YES,NO, , , , , , , , , , 
R2,845Ω,RESISTOR_0402,RESC1005X40AN, , ,1,YES,YES, , , , , , , , , , 
"R3, R5, R6, R7, R10, R11, R12",4.7k,R-0603,R0603, , ,7,YES,NO, , , , , , , , , , 
R4,200Ω,RESISTOR_0402,RESC1005X40AN, , ,1,YES,YES, , , , , , , , , , 
R8,1k,R-0603,R0603, , ,1,YES,NO, , , , , , , , , , 
R9,150Ω,R-0603,R0603, , ,1,YES,NO, , , , , , , , , , 
R15,"4,8kΩ",RESISTOR_0402,RESC1005X40AN, , ,1,YES,YES, , , , , , , , , , 
R16,"42,2kΩ",RESISTOR_0402,RESC1005X40AN, , ,1,YES,YES, , , , , , , , , , 
R17,10kΩ,RESISTOR_0402,RESC1005X40AN, , ,1,YES,NO, , , , , , , , , , 
R18,4k7Ω,RESISTOR_0402,RESC1005X40AN, , ,1,YES,NO, , , , , , , , , , 
"TP1, TP2, TP3, TP4",TEST-POINT3,TEST-POINT3,PAD.03X.03,Bare copper test points for troubleshooting or ICT, ,4,NO,NO, , , , , , , , , , 
U$1,FH34SRJ-10S-0.5SH(50)FRC-10PIN-0.5MM,FH34SRJ-10S-0.5SH(50)FRC-10PIN-0.5MM,FRC-10PIN-0.5MM, , ,1,YES,YES, , , , , , , , , , 
U$2,BME280LGA-8,BME280LGA-8,LGA-8, , ,1,YES,YES, , , , , , , , , , 
U$3,HIROSE_BAT_CON,HIROSE_BAT_CON,"0.5MM-PITCH,6-PIN", , ,1,YES,YES, , , , , , , , , , 
U$4,TSL25723FNFN-6PIN,TSL25723FNFN-6PIN,FN-6PIN, , ,1,YES,YES, , , , , , , , , , 
U1,Value,BQ51050BRHLR,RHL0020A, , ,1,YES,YES, , , , , , , , , , 
U2,TXS0108E,TXS0108E_RGY_20,RGY20_3P05X2P05, , ,1,YES,YES, , , , , , , , , , 
U3,MAX17043,MAX1704X,TDFN-8,"MAX17043/MAX17044: Battery Fuel Guage (43 is 1cell, 44 is 2cell)", ,1,YES,YES, , , , , , , , , , 
X1,I2C TP,53047-04,53047-04,CONNECTOR, ,1,NO,NO, , , , , , , , , , 
X5,Display TP,53047-04,53047-04,CONNECTOR, ,1,NO,NO, , , , , , , , , , 
